date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,txf_open,txf_high,txf_low,txf_close,txf_volume,tse_open,tse_high,tse_low,tse_close,tse_volume,PutCallVol,PutCallRatio
2022/4/15,-21216173706,989264522,-3393,-8421,-6615,-7788,17102,17117,16960,16983,97455,17139.34,17141.33,17004.18,17004.18,2681.65,86.35,90.76
2022/4/18,-10412753466,2514187127,1320,-7052,3920,-4064,16908,16995,16813,16881,122230,16958.66,16999.36,16845.51,16898.87,2288,104.94,88.25
2022/4/19,2125026537,860317795,-302,-7354,-1670,-5734,17065,17122,16988,17000,106177,16926.34,17106.26,16926.34,16993.4,2266.94,115.06,93.89
2022/4/20,3072814588,2359195311,2051,-9973,2317,-236,17071,17135,16992,17125,57157,17057.13,17148.88,16983.55,17148.88,2931.86,94.02,91.38
2022/4/21,3426911270,3125173467,-15,-9999,-1178,-1350,17180,17222,17090,17126,86180,17159.88,17213.66,17106.37,17127.95,2436.71,100.87,90.28
2022/4/22,-21594357214,1629342248,2007,-7997,-3700,-5030,16862,16999,16823,16992,96385,17088.76,17088.76,16923.87,17025.09,2682.01,104.75,95.07
2022/4/25,-42196582686,569483664,-699,-8696,-7157,-12187,16686,16734,16508,16572,123324,16912.3,16912.3,16579.89,16620.9,3016.95,106.41,84.08
2022/4/26,-14826223155,1085370050,60,-9711,64,-7823,16648,16663,16533,16586,82214,16677.84,16729.47,16582.11,16644.79,2540.64,106.95,84.05
2022/4/27,-21143566385,1238764367,-3240,-12944,-3576,-10910,16221,16344,16160,16285,141144,16427.32,16427.32,16219.41,16303.35,2975.62,108.37,79.99
2022/4/28,-15847665778,685192210,1208,-11732,4542,-6384,16317,16416,16220,16387,103728,16350.72,16455.57,16256.88,16419.38,2558.83,107.6,95.57
2022/4/29,6484612831,1046866665,6077,-5674,9709,3401,16555,16635,16495,16583,103887,16599.84,16663.66,16521.94,16592.18,2554.92,102.54,106.3
2022/5/3,441251717,1702348361,-4202,-9876,-6568,-3167,16487,16570,16434,16470,90193,16593.21,16604.87,16465.99,16498.9,1771.03,103.69,101.18
2022/5/4,-63893139,911902831,1010,-8866,-342,-3256,16505,16589,16489,16519,69459,16531.37,16617.06,16514.3,16565.83,1923.55,107.8,89.8
2022/5/5,3833109000,3500208924,-1025,-9974,3107,183,16753,16776,16645,16684,78883,16689.98,16783.78,16650.81,16696.12,2058.48,100.02,88.48
2022/5/6,-23558081359,169295420,112,-9775,-8084,-8249,16310,16380,16266,16355,96310,16491.11,16491.11,16312.17,16408.2,2458.77,95.72,80.61
2022/5/9,-21147641484,506792090,1630,-8165,196,-7973,16156,16194,16015,16027,99474,16345.84,16345.84,16048.92,16048.92,2398.23,90.91,76.32
2022/5/10,-1610732552,220392318,-4702,-12886,-1986,-9883,15809,16045,15730,16039,127562,15891.4,16071.5,15734.44,16061.7,2560.81,104.23,81.12
2022/5/11,-15092068094,153901703,3729,-9158,1856,-7544,15989,16058,15907,16010,88276,16053.75,16081.15,15953.27,16006.25,2062.1,93.32,83.17
2022/5/12,-10321407427,225528838,1193,-6639,242,-12606,15801,15890,15608,15632,118642,15943.62,15943.62,15616.68,15616.68,2583.65,90.55,80.32
2022/5/13,2941357338,1011793425,1128,-5519,9951,-2623,15777,15854,15743,15851,96199,15687.15,15860.69,15687.15,15832.54,2250.45,116.21,88.14
2022/5/16,-1671273252,910058556,3018,-2540,2357,-110,15996,16044,15847,15921,120555,15943.69,16032.85,15847.46,15901.04,2389.66,109.94,89.74
2022/5/17,-858260781,-348855129,2633,91,1489,1371,15978,16096,15963,16075,95655,15915.93,16085.85,15915.93,16056.09,2067.91,118.2,96.15
2022/5/18,11190211056,1090130170,5518,1701,6410,4833,16180,16318,16159,16302,54930,16174.78,16316.58,16172.8,16296.86,2340.93,103.84,103.66
2022/5/19,-13622361464,-970654531,-1377,400,-10148,-5619,15871,15965,15820,15911,109266,16111.49,16111.49,15892.73,16020.32,2306.59,103.75,88.47
2022/5/20,7188685839,1684650067,5204,5593,7987,2412,16069,16145,16013,16135,85765,16061.92,16181.66,16058.2,16144.85,1978.99,109.49,96.77
2022/5/23,2027499487,2683673905,-1550,4048,-4979,-2587,16220,16263,16076,16147,99214,16193.92,16249.45,16125.45,16156.41,2329.38,102.3,97.45
2022/5/24,-8061160851,1736078553,983,5024,-3310,-5869,16131,16156,15914,15926,98160,16166.57,16219.8,15963.63,15963.63,2079.99,93.67,95.14
2022/5/25,5078137217,-348688319,374,5399,3836,-1771,15996,16146,15968,16060,98499,15987.74,16169.18,15980.9,16104.03,2130.21,111.68,100.8
2022/5/26,-11850499630,-1419506817,-865,4528,-3458,-5205,16153,16184,15928,15950,99211,16128.21,16179.01,15949.61,15968.83,2213,98.2,95
